AlbumName,ReleaseDate,Artist,Genre
Buddy Holly Greatest Hits,1977,Buddy Holly,Rock n Roll
West Side Story,1963,Various ,Showtunes
Camelot,1960,Various ,Showtunes
All Eyez on Me,1995,2 Pac,Rap
Eagles Their Greatest Hits,1976,Eagles,Rock
Jesus Christ Superstar,1970,Various ,Showtunes
An Evenings of Chinese Art Songs II,1970,Huang Yau-Tai,World
The Music Man,1962,Various ,Showtunes
Oxygene ,1976,Jean Michel Jarre,Electronic
Heavy Weather,1977,Weather Report,Jazz Fusion
Bat Out of Hell,1977,Meatloaf,Rock
Bernstein Conducts Mozart: Jupiter and Linz,1971,New York Philharmonic ,Classical
How the West was Won,1962,Various ,Showtunes
Night Moves,1976, Bob Seger ,Rock
6 and 12 String Guitar,1969,Leo Kottke,Folk
Otis Redding Jimi Hendrix Experience ,1970,Otis Redding/Jimi Hendrix,Rock
Blue Hawaii,,Billy Mure,World
Oklahoma,1956,Richard Rodgers,Showtunes
Fleetwood Mac,1975,Fleetwood Mac,Rock
Nashville Skyline,1969,Bob Dylan,Folk
Sound of Music,1965,Rodgers and Hammerstein,Showtunes
Man of La Mancha,1966,Various ,Showtunes
Grease Motion Picture Soundtrack ,1978,Various ,Soundtracks
Bridge Over Troubled Waters,1970,Simon and Garfunkel,Folk Rock
Good Morning Vietnam,1987,Various ,Soundtrack 
Podipto,1973,Podipto,Folk Rock
Hot August Night,1972,Neil Diamond,Pop Rock
Imagine,1972,John Lennon,Pop Rock
Beethoven's Ninth Symphony,1967,Beethoven ,Classical 
Buy U a Drank,2007,T-Pain,Hip Hop
Paint Your Wagon,1969,Various ,Showtunes
Fiddler on the Roof: Motion Picture Soundtrack,1971,Various ,Showtunes
Into the Woods,1988,Stephen Sondheim,Showtunes
Woodstock,1970,Various ,Rock
Bob Dylan's Greatest Hits,1967,Bob Dylan,Folk Rock
Bo Dylan's Greatest Hits Vol 2,1971,Bob Dylan,Folk Rock
Tracy Chapman,1988,Tracy Chapman,Folk Rock
A Funny Thing Happened on the Way to the Forum,1962,Stephen Sondheim,Showtunes
State Fair,1962,Rodgers and Hammerstein,Showtunes
Beethoven Symphonies 2 &4,1953,Beethoven ,Classical
Mark Twain Tonight,1959,Hal Holbrook,Comedy
Beethoven Sixth Symphony,1976,Beethoven ,Classical
Oklahoma: Movie Soundtrack ,1964,Various ,Soundtrack 
Eroica ,1964,Beethoven ,Classical
My Fair Lady: Movie Soundtrack ,1964,Various ,Soundtrack 
"Best of Peter, Paul and Mary: Ten Years Togther",1970,"Peter, Paul and Mary",Folk Rock
Beethoven Fifth and Eigth Symphony ,1972,Beethoven ,Classical
The Language and Music of the Wolves,1972,Robert Redford,Spoken Word
Star Trek the Motion Picture,1979,Jerry Goldsmith,Soundtrack 
Absolutely Live,1970,The Doors,Rock
The Nutcracker,1985,Tchaikovsky/ St. Louis Symphony Orchestra,Classical 
His band and The Street Choir,1970,Van Morrison,Rock
I Walk the Line,1964,Johnny Cash,Country
Slim Slo Slide,1970,Johnny Rivers,Folk
Music for Non-Thinkers,1958,Guckenheimer Saurkraut Band,Polka
Topelo Honey,1971,Van Morrison,Rock
50 Great Moments of Music,1950,Various ,Classical 
Greatest Hits,1979,Rod Stewart,Rock
