date,meantempc,maxtempc,mintempc,meanpressure,maxpressure,minpressure,maxhumidity,minhumidity,precipm
2016-01-01,-8,-5,-11,1013,1017,1009,93,74,0
2016-01-02,-6,-2,-9,1014,1020,1010,91,63,0
2016-01-03,-10,-3,-16,1024,1028,1020,93,69,0
2016-01-04,-10,-2,-17,1025,1028,1018,93,60,0
2016-01-05,-6,-2,-9,1015,1016,1013,91,63,0
2016-01-06,-6,-4,-6,1016,1017,1015,99,82,0
2016-01-07,-3,-1,-4,1013,1015,1011,100,92,0
2016-01-08,-10,-2,-18,1013,1016,1011,100,82,0
2016-01-09,-23,-17,-29,1020,1022,1016,87,64,0
2016-01-10,-25,-19,-31,1017,1021,1013,81,63,0
2016-01-11,-24,-17,-32,1009,1013,1005,85,74,0
2016-01-12,-23,-19,-27,1016,1018,1012,84,73,0
2016-01-13,-17,-11,-24,1006,1012,1002,92,81,0
2016-01-14,-11,-8,-14,1000,1003,998,93,88,0.51
2016-01-15,-19,-14,-26,1008,1013,1003,90,74,0
2016-01-16,-27,-23,-30,1015,1017,1012,82,67,0
2016-01-17,-28,-23,-33,1021,1024,1017,80,67,0
2016-01-18,-24,-19,-31,1025,1027,1023,85,65,0
2016-01-19,-22,-15,-29,1025,1028,1020,85,66,0
2016-01-20,-12,-10,-15,1018,1022,1016,93,82,0
2016-01-21,-11,-9,-12,1026,1029,1022,94,77,0
2016-01-22,-11,-8,-15,1027,1030,1019,87,66,0
2016-01-23,-8,-4,-12,1010,1019,1005,96,77,0
2016-01-24,-4,-3,-5,1009,1010,1005,99,92,0
2016-01-25,-6,-3,-7,1009,1012,1008,99,85,0
2016-01-26,-7,-6,-8,1016,1019,1012,92,68,0
2016-01-27,-3,2,-8,1003,1016,995,96,77,0
2016-01-28,-7,0,-14,1009,1011,1001,92,66,0
2016-01-29,-4,1,-10,999,1008,993,98,76,0
2016-01-30,-1,3,-4,995,1000,993,97,69,0
2016-01-31,-6,0,-11,1003,1009,1000,99,76,0
2016-02-01,-4,-3,-5,1014,1020,1009,94,73,0
2016-02-02,-7,-4,-9,1018,1021,1014,91,59,0
2016-02-03,-12,-8,-17,1014,1015,1013,90,55,0
2016-02-04,-10,-6,-13,1017,1022,1013,92,69,0
2016-02-05,-7,-2,-12,1020,1022,1017,96,68,0
2016-02-06,-3,2,-9,1008,1017,999,96,66,0
