date,meantempc,maxtempc,mintempc,meanpressure,maxpressure,minpressure,meanhumidity,maxhumidity,minhumidity,precipm
1/1/2016,-8,-5,-11,1013,1017,1009,83.5,93,74,0
1/2/2016,-6,-2,-9,1014,1020,1010,77,91,63,0
1/3/2016,-10,-3,-16,1024,1028,1020,81,93,69,0
1/4/2016,-10,-2,-17,1025,1028,1018,76.5,93,60,0
1/5/2016,-6,-2,-9,1015,1016,1013,77,91,63,0
1/6/2016,-6,-4,-6,1016,1017,1015,90.5,99,82,0
1/7/2016,-3,-1,-4,1013,1015,1011,96,100,92,0
1/8/2016,-10,-2,-18,1013,1016,1011,91,100,82,0
1/9/2016,-23,-17,-29,1020,1022,1016,75.5,87,64,0
1/10/2016,-25,-19,-31,1017,1021,1013,72,81,63,0
1/11/2016,-24,-17,-32,1009,1013,1005,79.5,85,74,0
1/12/2016,-23,-19,-27,1016,1018,1012,78.5,84,73,0
1/13/2016,-17,-11,-24,1006,1012,1002,86.5,92,81,0
1/14/2016,-11,-8,-14,1000,1003,998,90.5,93,88,0.51
1/15/2016,-19,-14,-26,1008,1013,1003,82,90,74,0
1/16/2016,-27,-23,-30,1015,1017,1012,74.5,82,67,0
1/17/2016,-28,-23,-33,1021,1024,1017,73.5,80,67,0
1/18/2016,-24,-19,-31,1025,1027,1023,75,85,65,0
1/19/2016,-22,-15,-29,1025,1028,1020,75.5,85,66,0
1/20/2016,-12,-10,-15,1018,1022,1016,87.5,93,82,0
1/21/2016,-11,-9,-12,1026,1029,1022,85.5,94,77,0
1/22/2016,-11,-8,-15,1027,1030,1019,76.5,87,66,0
1/23/2016,-8,-4,-12,1010,1019,1005,86.5,96,77,0
1/24/2016,-4,-3,-5,1009,1010,1005,95.5,99,92,0
1/25/2016,-6,-3,-7,1009,1012,1008,92,99,85,0
1/26/2016,-7,-6,-8,1016,1019,1012,80,92,68,0
1/27/2016,-3,2,-8,1003,1016,995,86.5,96,77,0
1/28/2016,-7,0,-14,1009,1011,1001,79,92,66,0
1/29/2016,-4,1,-10,999,1008,993,87,98,76,0
1/30/2016,-1,3,-4,995,1000,993,83,97,69,0
1/31/2016,-6,0,-11,1003,1009,1000,87.5,99,76,0
2/1/2016,-4,-3,-5,1014,1020,1009,83.5,94,73,0
2/2/2016,-7,-4,-9,1018,1021,1014,75,91,59,0
2/3/2016,-12,-8,-17,1014,1015,1013,72.5,90,55,0
2/4/2016,-10,-6,-13,1017,1022,1013,80.5,92,69,0
2/5/2016,-7,-2,-12,1020,1022,1017,82,96,68,0
2/6/2016,-3,2,-9,1008,1017,999,81,96,66,0
2/7/2016,-7,2,-15,1002,1011,996,89.5,99,80,0
2/8/2016,-14,-13,-17,1016,1019,1011,78,81,75,0
2/9/2016,-18,-14,-22,1021,1023,1019,76,87,65,0
2/10/2016,-20,-14,-25,1020,1024,1018,71.5,84,59,0
2/11/2016,-20,-12,-28,1023,1024,1021,67,85,49,0
2/12/2016,-21,-16,-28,1030,1035,1022,68,83,53,0
2/13/2016,-23,-13,-32,1029,1035,1020,63,82,44,0
2/14/2016,-12,-9,-15,1011,1020,1006,76,94,58,0
2/15/2016,-4,1,-9,1003,1006,1001,91,98,84,0
2/16/2016,-10,-3,-19,1013,1018,1006,71,89,53,0
2/17/2016,-13,-2,-24,1019,1021,1016,71,86,56,0
2/18/2016,-3,2,-7,1005,1016,995,81.5,93,70,0
2/19/2016,1,3,0,994,1000,990,88.5,100,77,0
2/20/2016,-2,2,-6,1012,1020,1001,84,95,73,0
2/21/2016,-8,-5,-12,1023,1025,1020,69.5,87,52,0
2/22/2016,-6,-2,-11,1017,1023,1014,77,87,67,0
