Time,Temp Avg,Temp Low,Temp High,Hum Avg,Hum Low,Hum High,Baro Avg,Baro Low,Baro High,Windspeed,Gust,Wind Direction,Interval Precip,Leaf Wetness (Minutes),Solar Radiation Avg,Inside Temp Avg,Inside Temp Low,Inside Temp High,Heat Index,Wind Chill,Dew Point,UV Index,Station Voltage,Station Voltage 2,t1ia,t1il,t1ih,t2ia,t2il,t2ih,wetbulb,s2ia,smia,lvl1,lvl2,lvl3
1/1/2017 0:00,20.87,20.8,21.1,89,89,89,28.16,28.15,28.17,2.88333,6.7,192,0,,,50.97,51,51,20.87,20.9,18.1,,6.7,,,,,,,,20,,,,,
1/1/2017 1:00,22.27,21.1,23,88,87,89,28.19,28.18,28.2,4.43333,10.6,199,0,,,51.64,51,53,22.27,22.3,19.1,,6.7,,,,,,,,21.3,,,,,
1/1/2017 2:00,23.46,23,23.6,86,86,87,28.21,28.2,28.24,7.22667,16.6,259,0,,,52.29,52,54,23.46,23.5,19.9,,6.6,,,,,,,,22.3,,,,,
1/1/2017 3:00,23.1,22.8,23.3,85,84,86,28.26,28.24,28.28,8.67833,17,291,0,,,52.27,52,53,23.1,23.1,19.3,,6.6,,,,,,,,21.9,,,,,
1/1/2017 4:00,21.72,20.8,22.8,82,81,84,28.3,28.28,28.31,10.79167,23.3,274,0,,,52.43,52,53,21.72,21.7,17,,6.6,,,,,,,,20.1,,,,,
1/1/2017 5:00,20.86,20.8,21,82,82,83,28.33,28.31,28.34,8.20667,16.3,285,0,,,52.47,52,53,20.86,20.9,16.2,,6.5,,,,,,,,19.1,,,,,
1/1/2017 6:00,20.51,20.1,20.8,83,82,84,28.37,28.34,28.4,6.99667,16.3,286,0,,,52.56,52,53,20.51,20.5,16.2,,6.5,,,,,,,,19.3,,,,,
1/1/2017 7:00,19.58,19.1,20.1,80,80,82,28.42,28.4,28.43,5.39167,13.3,320,0,,,52.69,52,55,19.58,19.6,14.5,,6.5,,,,,,,,18.1,,,,,
1/1/2017 8:00,18.79,18.3,19.1,83,82,84,28.45,28.44,28.47,6.085,12.5,316,0,,,55.49,55,56,18.79,18.8,14.4,,6.5,,,,,,,,17.6,,,,,
1/1/2017 9:00,18.08,17.8,18.3,83,80,85,28.5,28.48,28.52,5.84333,13.3,309,0,,,56.23,56,57,18.08,18.1,13.7,,6.4,,,,,,,,16.9,,,,,
1/1/2017 10:00,17.04,15.5,17.8,80,76,81,28.53,28.52,28.55,5.76833,16.1,318,0,,,55.71,55,56,17.04,17,11.8,,6.4,,,,,,,,15.6,,,,,
1/1/2017 11:00,15.29,15,16.8,71,69,76,28.59,28.54,28.61,4.07167,15.4,22,0,,,56.99,56,58,15.29,15.3,7.7,,6.9,,,,,,,,13.5,,,,,
1/1/2017 12:00,17.78,16.8,18.3,63,62,69,28.63,28.62,28.63,3.26833,10.5,26,0,,,58.44,58,59,17.78,17.8,7.4,,7.4,,,,,,,,15.2,,,,,
1/1/2017 13:00,17.84,17.1,18.8,62,60,63,28.62,28.61,28.63,4.44167,13.5,21,0,,,57.97,58,58,17.84,17.8,7,,7.5,,,,,,,,15.2,,,,,
1/1/2017 14:00,19.54,18.6,20.6,58,56,60,28.61,28.61,28.62,3.845,13.8,34,0,,,56.9,56,58,19.54,19.5,7.2,,7.6,,,,,,,,16.5,,,,,
1/1/2017 15:00,19.92,19.1,20.6,56,56,57,28.63,28.62,28.64,3.62,12.5,36,0,,,55.98,56,57,19.92,19.9,6.7,,7.4,,,,,,,,16.6,,,,,
1/1/2017 16:00,18.92,17.6,19.8,56,56,57,28.64,28.63,28.65,3.015,10.3,29,0,,,55.6,55,56,18.92,18.9,5.9,,7.3,,,,,,,,15.7,,,,,
1/1/2017 17:00,15.4,13.5,17.6,59,56,65,28.65,28.64,28.66,1.515,7.7,56,0,,,55.81,55,56,15.4,15.4,3.8,,7.1,,,,,,,,12.7,,,,,
1/1/2017 18:00,12.03,11,13.5,69,65,72,28.66,28.66,28.67,0.05333,2.7,45,0,,,54.46,54,55,12.03,12,3.8,,7,,,,,,,,10.2,,,,,
1/1/2017 19:00,11.75,11,12.3,72,72,73,28.68,28.67,28.69,0.61167,5.4,67,0,,,55.35,55,56,11.75,11.8,4.5,,6.9,,,,,,,,10.2,,,,,
1/1/2017 20:00,11.21,11,11.9,72,72,73,28.67,28.67,28.68,1.59167,7.7,45,0,,,53.55,52,56,11.21,11.2,4.1,,6.9,,,,,,,,9.7,,,,,
1/1/2017 21:00,11.67,11.4,11.9,72,72,73,28.7,28.68,28.72,1.22667,6.2,72,0,,,50.81,50,52,11.67,11.7,4.3,,6.8,,,,,,,,10.1,,,,,
1/1/2017 22:00,11.16,11,11.4,72,72,74,28.71,28.69,28.72,1.21167,7.5,67,0,,,49.99,50,51,11.16,11.2,4.1,,6.8,,,,,,,,9.6,,,,,
1/1/2017 23:00,11.47,11.1,11.8,73,73,73,28.69,28.69,28.7,1.93667,11,65,0,,,49.39,49,50,11.47,11.5,4.5,,6.8,,,,,,,,10,,,,,
